name,price,image_url,units,category
GoodLife UHT Treated Toned Milk,28,https://www.bigbasket.com/media/uploads/p/l/242671_1-nandini-goodlife-toned-milk.jpg,500 ml,"Bakery, Cakes & Dairy"
GoodLife UHT Treated Toned Milk,60,https://www.bigbasket.com/media/uploads/p/l/100285703_15-nandini-goodlife-toned-milk.jpg,1 L,"Bakery, Cakes & Dairy"
"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",620,https://www.bigbasket.com/media/uploads/p/l/240065_14-tata-tea-gold-tea.jpg,1 kg,Beverages
Tea,145,https://www.bigbasket.com/media/uploads/p/l/263642_19-tata-tea-gold-tea.jpg,250 g,Beverages
"Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea",285,https://www.bigbasket.com/media/uploads/p/l/240067_19-tata-tea-gold-tea.jpg,500 g,Beverages
Tea,40,https://www.bigbasket.com/media/uploads/p/l/264565_4-tata-tea-gold-tea.jpg,100 g,Beverages
Tea,885,https://www.bigbasket.com/media/uploads/p/l/40200082_3-tata-tea-gold-tea.jpg,1.5 Kg,Beverages
Sunrise Instant Coffee - Chicory Mixture,95,https://www.bigbasket.com/media/uploads/p/l/20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,50 g,Beverages
Sunrise Rich Aroma,795,https://www.bigbasket.com/media/uploads/p/l/40111434_10-nescafe-sunrise-rich-aroma.jpg,500 g,Beverages
"Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong",785,https://www.bigbasket.com/media/uploads/p/l/118572_3-nescafe-sunrise-extra-sachet.jpg,1 kg,Beverages
"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",190,https://www.bigbasket.com/media/uploads/p/l/292149_7-nescafe-sunrise-instant-coffee-chicory-mix.jpg,100 g,Beverages
"Sunrise Instant Coffee-Chicory Mix, Rich In Aroma & Flavour,",10,https://www.bigbasket.com/media/uploads/p/l/40020215_6-nescafe-sunrise-coffee.jpg,10 g,Beverages
Sunrise Instant Coffee,5,https://www.bigbasket.com/media/uploads/p/l/40020218_3-nescafe-sunrise-instant-coffee.jpg,5.5 g,Beverages
"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",380,https://www.bigbasket.com/media/uploads/p/l/241695_13-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,200 g,Beverages
Pasteurised Butter,255,https://www.bigbasket.com/media/uploads/p/l/104864_8-amul-butter-pasteurised.jpg,500 g,"Bakery, Cakes & Dairy"
Butter - Pasteurized,104,https://www.bigbasket.com/media/uploads/p/l/1200163_4-amul-butter-pasteurized.jpg,2x100 g,"Bakery, Cakes & Dairy"
